district,date,month,year,dvisitors_2018
Adilabad,1/1/2018,January,2018,320356
Adilabad,1/2/2018,February,2018,36550
Adilabad,1/3/2018,March,2018,23011
Adilabad,1/4/2018,April,2018,14183
Adilabad,1/5/2018,May,2018,8197
Adilabad,1/6/2018,June,2018,12052
Adilabad,1/7/2018,July,2018,24666
Adilabad,1/8/2018,August,2018,38939
Adilabad,1/9/2018,September,2018,25875
Adilabad,1/10/2018,October,2018,30257
Adilabad,1/11/2018,November,2018,49181
Adilabad,1/12/2018,December,2018,61476
Bhadradri Kothagudem ,1/1/2018,January,2018,421275
Bhadradri Kothagudem ,1/2/2018,February,2018,240634
Bhadradri Kothagudem ,1/3/2018,March,2018,421275
Bhadradri Kothagudem ,1/4/2018,April,2018,341258
Bhadradri Kothagudem ,1/5/2018,May,2018,291273
Bhadradri Kothagudem ,1/6/2018,June,2018,290512
Bhadradri Kothagudem ,1/7/2018,July,2018,220304
Bhadradri Kothagudem ,1/8/2018,August,2018,219548
Bhadradri Kothagudem ,1/9/2018,September,2018,334878
Bhadradri Kothagudem ,1/10/2018,October,2018,322974
Bhadradri Kothagudem ,1/11/2018,November,2018,253464
Bhadradri Kothagudem ,1/12/2018,December,2018,442483
Hyderabad,1/1/2018,January,2018,1978396
Hyderabad,1/2/2018,February,2018,1365837
Hyderabad,1/3/2018,March,2018,1415938
Hyderabad,1/4/2018,April,2018,1586375
Hyderabad,1/5/2018,May,2018,1189492
Hyderabad,1/6/2018,June,2018,1595067
Hyderabad,1/7/2018,July,2018,1470042
Hyderabad,1/8/2018,August,2018,1591470
Hyderabad,1/9/2018,September,2018,1508086
Hyderabad,1/10/2018,October,2018,2207478
Hyderabad,1/11/2018,November,2018,1671320
Hyderabad,1/12/2018,December,2018,1964150
Jagtial ,1/1/2018,January,2018,614082
Jagtial ,1/2/2018,February,2018,349576
Jagtial ,1/3/2018,March,2018,416716
Jagtial ,1/4/2018,April,2018,372874
Jagtial ,1/5/2018,May,2018,641363
Jagtial ,1/6/2018,June,2018,182505
Jagtial ,1/7/2018,July,2018,182473
Jagtial ,1/8/2018,August,2018,272685
Jagtial ,1/9/2018,September,2018,273121
Jagtial ,1/10/2018,October,2018,138206
Jagtial ,1/11/2018,November,2018,277997
Jagtial ,1/12/2018,December,2018,231323
Jangaon ,1/1/2018,January,2018,17180
Jangaon ,1/2/2018,February,2018,18600
Jangaon ,1/3/2018,March,2018,17300
Jangaon ,1/4/2018,April,2018,18100
Jangaon ,1/5/2018,May,2018,19660
Jangaon ,1/6/2018,June,2018,23050
Jangaon ,1/7/2018,July,2018,26280
Jangaon ,1/8/2018,August,2018,26020
Jangaon ,1/9/2018,September,2018,28830
Jangaon ,1/10/2018,October,2018,29470
Jangaon ,1/11/2018,November,2018,29570
Jangaon ,1/12/2018,December,2018,36962
Jayashankar Bhoopalpally,1/1/2018,January,2018,6519850
Jayashankar Bhoopalpally,1/2/2018,February,2018,8626250
Jayashankar Bhoopalpally,1/3/2018,March,2018,146150
Jayashankar Bhoopalpally,1/4/2018,April,2018,149150
Jayashankar Bhoopalpally,1/5/2018,May,2018,152050
Jayashankar Bhoopalpally,1/6/2018,June,2018,159400
Jayashankar Bhoopalpally,1/7/2018,July,2018,128550
Jayashankar Bhoopalpally,1/8/2018,August,2018,184700
Jayashankar Bhoopalpally,1/9/2018,September,2018,192300
