district,date,month,year,visitors
Adilabad,1/1/2016,January,2016,2
Adilabad,1/2/2016,February,2016,0
Adilabad,1/3/2016,March,2016,2
Adilabad,1/4/2016,April,2016,0
Adilabad,1/5/2016,May,2016,0
Adilabad,1/6/2016,June,2016,0
Adilabad,1/7/2016,July,2016,4
Adilabad,1/8/2016,August,2016,2
Adilabad,1/9/2016,September,2016,0
Adilabad,1/10/2016,October,2016,0
Adilabad,1/11/2016,November,2016,0
Adilabad,1/12/2016,December,2016,0
Bhadradri Kothagudem ,1/1/2016,January,2016, 
Bhadradri Kothagudem ,1/2/2016,February,2016, 
Bhadradri Kothagudem ,1/3/2016,March,2016, 
Bhadradri Kothagudem ,1/4/2016,April,2016, 
Bhadradri Kothagudem ,1/5/2016,May,2016, 
Bhadradri Kothagudem ,1/6/2016,June,2016, 
Bhadradri Kothagudem ,1/7/2016,July,2016, 
Bhadradri Kothagudem ,1/8/2016,August,2016, 
Bhadradri Kothagudem ,1/9/2016,September,2016, 
Bhadradri Kothagudem ,1/10/2016,October,2016,0
Bhadradri Kothagudem ,1/11/2016,November,2016,0
Bhadradri Kothagudem ,1/12/2016,December,2016,0
Hyderabad,1/1/2016,January,2016,15865
Hyderabad,1/2/2016,February,2016,29646
Hyderabad,1/3/2016,March,2016,13019
Hyderabad,1/4/2016,April,2016,8402
Hyderabad,1/5/2016,May,2016,8522
Hyderabad,1/6/2016,June,2016,10284
Hyderabad,1/7/2016,July,2016,17142
Hyderabad,1/8/2016,August,2016,12842
Hyderabad,1/9/2016,September,2016,9397
Hyderabad,1/10/2016,October,2016,12808
Hyderabad,1/11/2016,November,2016,8084
Hyderabad,1/12/2016,December,2016,17620
Jagtial ,1/1/2016,January,2016, 
Jagtial ,1/2/2016,February,2016, 
Jagtial ,1/3/2016,March,2016, 
Jagtial ,1/4/2016,April,2016, 
Jagtial ,1/5/2016,May,2016, 
Jagtial ,1/6/2016,June,2016, 
Jagtial ,1/7/2016,July,2016, 
Jagtial ,1/8/2016,August,2016, 
Jagtial ,1/9/2016,September,2016, 
Jagtial ,1/10/2016,October,2016,0
Jagtial ,1/11/2016,November,2016,0
Jagtial ,1/12/2016,December,2016,0
Jangaon ,1/1/2016,January,2016, 
Jangaon ,1/2/2016,February,2016, 
Jangaon ,1/3/2016,March,2016, 
Jangaon ,1/4/2016,April,2016, 
Jangaon ,1/5/2016,May,2016, 
Jangaon ,1/6/2016,June,2016, 
Jangaon ,1/7/2016,July,2016, 
Jangaon ,1/8/2016,August,2016, 
Jangaon ,1/9/2016,September,2016, 
Jangaon ,1/10/2016,October,2016,0
Jangaon ,1/11/2016,November,2016,2
Jangaon ,1/12/2016,December,2016,0
Jayashankar Bhoopalpally,1/1/2016,January,2016, 
Jayashankar Bhoopalpally,1/2/2016,February,2016, 
Jayashankar Bhoopalpally,1/3/2016,March,2016, 
Jayashankar Bhoopalpally,1/4/2016,April,2016, 
Jayashankar Bhoopalpally,1/5/2016,May,2016, 
Jayashankar Bhoopalpally,1/6/2016,June,2016, 
Jayashankar Bhoopalpally,1/7/2016,July,2016, 
Jayashankar Bhoopalpally,1/8/2016,August,2016, 
Jayashankar Bhoopalpally,1/9/2016,September,2016, 
Jayashankar Bhoopalpally,1/10/2016,October,2016,24
Jayashankar Bhoopalpally,1/11/2016,November,2016,22
Jayashankar Bhoopalpally,1/12/2016,December,2016,40
Jogulamba Gadwal ,1/1/2016,January,2016, 
Jogulamba Gadwal ,1/2/2016,February,2016, 
Jogulamba Gadwal ,1/3/2016,March,2016, 
Jogulamba Gadwal ,1/4/2016,April,2016, 
Jogulamba Gadwal ,1/5/2016,May,2016, 
Jogulamba Gadwal ,1/6/2016,June,2016, 
Jogulamba Gadwal ,1/7/2016,July,2016, 
Jogulamba Gadwal ,1/8/2016,August,2016, 
Jogulamba Gadwal ,1/9/2016,September,2016, 
Jogulamba Gadwal ,1/10/2016,October,2016,13
Jogulamba Gadwal ,1/11/2016,November,2016,21
Jogulamba Gadwal ,1/12/2016,December,2016,11
Kamareddy ,1/1/2016,January,2016, 
Kamareddy ,1/2/2016,February,2016, 
Kamareddy ,1/3/2016,March,2016, 
Kamareddy ,1/4/2016,April,2016, 
Kamareddy ,1/5/2016,May,2016, 
Kamareddy ,1/6/2016,June,2016, 
Kamareddy ,1/7/2016,July,2016, 
Kamareddy ,1/8/2016,August,2016, 
Kamareddy ,1/9/2016,September,2016, 
Kamareddy ,1/10/2016,October,2016,0
Kamareddy ,1/11/2016,November,2016,0
Kamareddy ,1/12/2016,December,2016,0
Karimnagar ,1/1/2016,January,2016,0
Karimnagar ,1/2/2016,February,2016,0
Karimnagar ,1/3/2016,March,2016,0
Karimnagar ,1/4/2016,April,2016,0
Karimnagar ,1/5/2016,May,2016,0
Karimnagar ,1/6/2016,June,2016,0
Karimnagar ,1/7/2016,July,2016,0
Karimnagar ,1/8/2016,August,2016,0
Karimnagar ,1/9/2016,September,2016,0
Karimnagar ,1/10/2016,October,2016,0
Karimnagar ,1/11/2016,November,2016,0
Karimnagar ,1/12/2016,December,2016,0
Khammam,1/1/2016,January,2016,0
Khammam,1/2/2016,February,2016,0
Khammam,1/3/2016,March,2016,0
Khammam,1/4/2016,April,2016,0
Khammam,1/5/2016,May,2016,0
Khammam,1/6/2016,June,2016,0
Khammam,1/7/2016,July,2016,0
Khammam,1/8/2016,August,2016,0
Khammam,1/9/2016,September,2016,0
Khammam,1/10/2016,October,2016,0
Khammam,1/11/2016,November,2016,0
Khammam,1/12/2016,December,2016,0
Komaram Bheem Asifabad,1/1/2016,January,2016, 
Komaram Bheem Asifabad,1/2/2016,February,2016, 
Komaram Bheem Asifabad,1/3/2016,March,2016, 
Komaram Bheem Asifabad,1/4/2016,April,2016, 
Komaram Bheem Asifabad,1/5/2016,May,2016, 
Komaram Bheem Asifabad,1/6/2016,June,2016, 
Komaram Bheem Asifabad,1/7/2016,July,2016, 
Komaram Bheem Asifabad,1/8/2016,August,2016, 
Komaram Bheem Asifabad,1/9/2016,September,2016, 
Komaram Bheem Asifabad,1/10/2016,October,2016,0
Komaram Bheem Asifabad,1/11/2016,November,2016,0
Komaram Bheem Asifabad,1/12/2016,December,2016,0
Mahabubabad ,1/1/2016,January,2016, 
